,name
312,Steven Smith
313,Stevin Smith
314,Stojko Vrankovic
315,Terrell Brandon
316,Terry Cummings
317,Tony Dumas
318,Terry Dehere
319,Terry Porter
320,Theo Ratliff
321,Tim Hardaway
322,Tim Kempton
323,Tim Legler
324,Todd Day
325,Todd Fuller
326,Tom Chambers
327,Tom Gugliotta
328,Tom Hammonds
329,Toni Kukoc
330,Terry Mills
331,Priest Lauderdale
332,Shawn Respert
333,Pooh Richardson
334,Kevin Duckworth
335,Kevin Edwards
336,Kevin Gamble
337,Kevin Garnett
338,Kevin Johnson
339,Kevin Salvadori
340,Kevin Willis
341,Khalid Reeves
342,Kobe Bryant
343,Kurt Thomas
344,LaPhonso Ellis
345,LaSalle Thompson
346,Lamond Murray
347,Larry Johnson
348,Larry Krystkowiak
349,Larry Stewart
350,Latrell Sprewell
351,Lawrence Moten
352,Lee Mayberry
353,Lindsey Hunter
354,Lionel Simmons
355,Litterial Green
356,Lloyd Daniels
357,Kerry Kittles
358,Kenny Smith
359,Kenny Anderson
360,Kendall Gill
361,Jim Jackson
362,Popeye Jones
363,Jimmy Carruth
364,Jimmy King
365,Jimmy Oliver
366,Joe Courtney
367,Joe Dumars
368,Joe Kleine
369,Joe Smith
370,Joe Stephens
371,Joe Wolf
372,Loren Meyer
373,John Crotty
374,John Starks
375,John Stockton
376,John Wallace
377,Johnny Newman
378,Jon Barry
379,Jud Buechler
380,Juwan Howard
381,Karl Malone
382,Keith Askins
383,Keith Tower
384,Ken Norman
385,John Long
386,Lorenzen Wright
387,Jim McIlvaine
388,Lou Roe
389,Michael Curry
390,Michael Finley
391,Michael Hawkins
392,Michael Jordan
393,Michael Smith
394,Mike Brown
395,Mitch Richmond
396,Mitchell Butler
397,Monty Williams
398,Moochie Norris
399,Mookie Blaylock
400,Michael Cage
401,Muggsy Bogues
402,Nate McMillan
403,Nick Anderson
404,Nick Van Exel
405,Olden Polynice
406,Oliver Miller
407,Othella Harrington
408,Otis Thorpe
409,P.J. Brown
410,Patrick Ewing
411,Pervis Ellison
412,Lorenzo Williams
413,Nate Driggers
414,Melvin Booker
415,Pete Chilcutt
416,Matt Maloney
417,Matt Steigenga
418,Loy Vaught
419,Luc Longley
420,Lucious Harris
421,Mahmoud Abdul-Rauf
422,Malik Rose
423,Malik Sealy
424,Marcus Camby
425,Mario Elie
426,Mark Bradtke
427,Mark Bryant
428,Marcus Brown
429,Mark Hendrickson
430,Mark Jackson
431,Mark Price
